City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Bhatkal,IN,2022-11-21 18:46:42,13.9667,74.5667,75.31,52,97,3.8
179,Yanam,IN,2022-11-21 18:46:30,16.7333,82.2167,77.31,78,98,8.14
180,Qujing,CN,2022-11-21 18:46:43,25.4833,103.7833,50.4,94,47,2.3
181,Nanortalik,GL,2022-11-21 18:46:43,60.1432,-45.2371,24.13,85,22,10.36
182,Orange,US,2022-11-21 18:46:40,33.7,-117.7675,76.28,22,75,3.0
183,Calamar,CO,2022-11-21 18:46:44,10.2511,-74.9146,87.01,69,100,3.13
184,Guerrero Negro,MX,2022-11-21 18:46:45,27.9769,-114.0611,73.0,30,26,2.39
185,Inhambane,MZ,2022-11-21 18:46:45,-23.865,35.3833,69.78,60,20,5.99
186,Yulara,AU,2022-11-21 18:46:45,-25.2406,130.9889,69.57,27,100,14.9
187,Tambura,SS,2022-11-21 18:46:46,5.6,27.4667,78.3,42,16,2.98
188,Pangnirtung,CA,2022-11-21 18:46:46,66.1451,-65.7125,5.0,43,75,0.0
189,Florianopolis,BR,2022-11-21 18:46:47,-27.6146,-48.5012,81.63,61,20,14.97
190,Schmalkalden,DE,2022-11-21 18:46:48,50.7167,10.45,33.12,97,100,4.81
191,Araouane,ML,2022-11-21 18:46:48,18.9048,-3.5265,76.14,13,100,10.96
192,Corn Island,NI,2022-11-21 18:46:49,12.1694,-83.0418,80.46,73,100,14.29
193,Ola,RU,2022-11-21 18:46:49,59.5833,151.2833,26.15,90,100,13.31
194,Makakilo City,US,2022-11-21 18:46:50,21.3469,-158.0858,77.32,61,0,17.27
195,Nizhnevartovsk,RU,2022-11-21 18:46:51,60.9344,76.5531,17.62,93,100,11.18
196,Xuddur,SO,2022-11-21 18:46:51,4.1213,43.8894,77.16,66,100,10.83
197,Acapulco,MX,2022-11-21 18:42:05,16.8634,-99.8901,84.36,65,0,5.28
198,Nanakuli,US,2022-11-21 18:46:52,21.3906,-158.1547,78.75,53,0,9.22
199,Kahului,US,2022-11-21 18:42:27,20.8947,-156.47,78.82,68,40,15.01
200,Dillon,US,2022-11-21 18:46:36,34.4166,-79.3712,59.04,36,0,4.81
201,Port Hardy,CA,2022-11-21 18:46:53,50.6996,-127.4199,44.78,81,100,19.57
202,Shache,CN,2022-11-21 18:46:53,38.4167,77.2406,41.4,27,0,4.14
203,Bay City,US,2022-11-21 18:46:54,43.5945,-83.8889,40.1,67,0,21.85
204,The Valley,AI,2022-11-21 18:44:32,18.217,-63.0578,84.81,78,20,17.27
205,Yellandu,IN,2022-11-21 18:46:54,17.6,80.3333,66.74,74,75,2.57
206,Mao,ES,2022-11-21 18:46:55,39.8885,4.2658,63.16,88,40,21.85
207,Kiama,AU,2022-11-21 18:46:56,-34.6833,150.8667,53.38,59,2,13.0
208,Fallon,US,2022-11-21 18:43:54,39.4735,-118.7774,41.92,55,75,0.0
209,Kouango,CF,2022-11-21 18:46:56,4.9934,19.9619,77.86,47,100,3.69
210,Bonthe,SL,2022-11-21 18:46:57,7.5264,-12.505,80.65,75,100,5.41
211,Tabou,CI,2022-11-21 18:46:57,4.423,-7.3528,78.71,81,26,6.96
212,Jalu,LY,2022-11-21 18:46:58,29.0331,21.5482,63.61,52,0,10.92
213,Tipperary,IE,2022-11-21 18:46:58,52.4733,-8.1558,42.06,95,100,12.24
214,Celina,US,2022-11-21 18:46:59,40.5489,-84.5702,48.54,32,84,18.95
215,Abong Mbang,CM,2022-11-21 18:46:59,3.9833,13.1833,71.1,58,89,2.04
216,Kavaratti,IN,2022-11-21 18:47:00,10.5669,72.642,81.34,50,1,6.29
217,Eugene,US,2022-11-21 18:46:07,44.0521,-123.0867,49.26,70,75,1.99
218,Iquique,CL,2022-11-21 18:43:59,-20.2208,-70.1431,71.64,70,36,4.18
219,Mancio Lima,BR,2022-11-21 18:47:01,-7.6142,-72.8958,91.47,58,75,10.36
220,Tromso,NO,2022-11-21 18:47:03,69.6496,18.957,29.37,93,0,2.3
221,Tonantins,BR,2022-11-21 18:48:03,-2.8731,-67.8022,81.18,93,100,1.48
222,Mikhaylovka,RU,2022-11-21 18:48:04,50.06,43.2379,44.78,98,100,3.0
223,Tiksi,RU,2022-11-21 18:48:05,71.6872,128.8694,-22.92,100,84,3.44
224,Pandan,PH,2022-11-21 18:48:06,14.0453,124.1694,79.07,88,98,11.48
225,Kuliyapitiya,LK,2022-11-21 18:48:06,7.4688,80.0401,76.68,94,40,3.11
226,Bathsheba,BB,2022-11-21 18:48:07,13.2167,-59.5167,79.41,89,75,18.41
227,Sechura,PE,2022-11-21 18:48:08,-5.5569,-80.8222,74.62,58,21,15.77
228,Talnakh,RU,2022-11-21 18:44:02,69.4865,88.3972,-24.32,94,97,2.01
229,Omboue,GA,2022-11-21 18:48:10,-1.5746,9.2618,76.08,88,90,7.14
230,Marsa Matruh,EG,2022-11-21 18:48:11,31.3525,27.2453,64.6,68,0,3.44
231,Riachao,BR,2022-11-21 18:48:11,-7.3619,-46.6172,83.55,58,61,4.81
232,Henderson,US,2022-11-21 18:47:08,36.0397,-114.9819,61.16,20,0,6.91
233,Nome,US,2022-11-21 18:46:39,64.5011,-165.4064,28.47,86,100,0.0
234,Diapaga,BF,2022-11-21 18:48:13,12.0708,1.7889,81.09,15,92,6.71
235,Changtu,CN,2022-11-21 18:48:14,42.7788,124.0955,30.02,62,5,2.84
236,Cabo San Lucas,MX,2022-11-21 18:47:38,22.8909,-109.9124,81.52,61,0,4.0
237,Fare,PF,2022-11-21 18:48:16,-16.7,-151.0167,78.33,77,17,16.4
238,Khor,RU,2022-11-21 18:48:18,47.8861,134.9464,16.79,71,8,11.65
239,Alofi,NU,2022-11-21 18:48:19,-19.0595,-169.9187,75.09,88,100,4.61
240,Kumluca,TR,2022-11-21 18:48:20,36.3703,30.2869,65.25,74,92,1.48
241,Huai Yot,TH,2022-11-21 18:48:20,7.7893,99.6348,73.76,97,100,3.2
242,Padang,ID,2022-11-21 18:46:35,-0.9492,100.3543,75.25,86,96,3.31
243,Urumqi,CN,2022-11-21 18:44:01,43.801,87.6005,27.55,86,0,2.24
244,Rocha,UY,2022-11-21 18:48:22,-34.4833,-54.3333,66.65,97,100,7.07
245,Don Benito,ES,2022-11-21 18:48:23,38.9563,-5.8616,54.12,78,100,16.2
246,Palauig,PH,2022-11-21 18:48:23,15.435,119.9045,80.08,76,51,6.91
247,Rio Grande,BR,2022-11-21 18:45:35,-32.035,-52.0986,82.51,73,100,6.44
248,Deputatskiy,RU,2022-11-21 18:48:24,69.3,139.9,-27.99,100,58,1.95
249,Terrace,CA,2022-11-21 18:44:37,54.5163,-128.6035,33.71,100,100,3.44
250,Carndonagh,IE,2022-11-21 18:48:25,55.25,-7.2667,46.02,93,100,18.25
251,Sawtell,AU,2022-11-21 18:48:26,-30.3833,153.1,62.62,39,93,6.91
252,Kedgwick,CA,2022-11-21 18:44:21,47.6446,-67.3434,17.91,88,100,8.66
253,Port Lincoln,AU,2022-11-21 18:48:26,-34.7333,135.8667,54.09,72,79,11.48
254,Haines Junction,CA,2022-11-21 18:48:28,60.7522,-137.5108,28.35,93,100,0.0
255,Ankang,CN,2022-11-21 18:48:28,32.68,109.0172,55.83,90,100,1.66
256,Yumen,CN,2022-11-21 18:48:29,40.2833,97.2,38.03,40,99,18.5
257,Udarnyy,RU,2022-11-21 18:48:30,54.3409,42.8611,29.17,95,100,4.88
258,Varhaug,NO,2022-11-21 18:48:31,58.6147,5.6457,38.89,61,11,25.61
259,Roma,US,2022-11-21 18:48:31,43.2128,-75.4557,39.96,43,0,11.5
260,Pacific Grove,US,2022-11-21 18:48:32,36.6177,-121.9166,66.65,48,100,4.0
261,Eureka,US,2022-11-21 18:45:39,40.8021,-124.1637,53.26,100,97,4.14
262,Alyangula,AU,2022-11-21 18:48:33,-13.8483,136.4192,82.81,72,100,7.27
263,Turmalina,BR,2022-11-21 18:48:34,-17.2856,-42.73,75.31,72,53,7.23
264,Pendleton,US,2022-11-21 18:48:34,45.6721,-118.7886,43.2,86,100,0.0
265,Sitka,US,2022-11-21 18:48:35,57.0531,-135.33,48.09,76,100,27.63
266,Bud,US,2022-11-21 18:48:36,39.447,-86.1758,50.02,31,5,17.29
267,Ancud,CL,2022-11-21 18:48:36,-41.8697,-73.8203,72.23,52,68,10.76
268,Antofagasta,CL,2022-11-21 18:48:37,-23.65,-70.4,67.28,62,0,7.85
269,Ahipara,NZ,2022-11-21 18:49:37,-35.1667,173.1667,64.62,97,97,12.01
270,Dunedin,NZ,2022-11-21 18:49:38,-45.8742,170.5036,53.8,84,49,5.91
271,Parker,US,2022-11-21 18:49:38,32.7668,-97.8003,51.73,73,80,1.01
272,Ilovlya,RU,2022-11-21 18:49:39,49.3033,43.9796,48.72,91,100,4.03
273,Vilhena,BR,2022-11-21 18:49:40,-12.7406,-60.1458,71.82,94,75,3.44
274,Caravelas,BR,2022-11-21 18:49:40,-17.7125,-39.2481,73.67,88,100,7.7
275,Camacha,PT,2022-11-21 18:49:41,33.0833,-16.3333,63.82,77,40,8.05
276,Puksoozero,RU,2022-11-21 18:49:41,62.5903,40.6066,11.3,96,31,2.08
277,Broome,US,2022-11-21 18:49:42,42.2506,-75.833,39.02,43,0,10.36
